index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
731,114,166,S8,S1 S5 S7 S8 S7 S5 S2,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
732,115,158,S2,S1 S11 S4 S2 S8 S4 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",100000100,
733,115,138,S3,S1 S11 S4 S3 S8 S5 S2,7,-1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",100000100,
734,115,119,S7,S1 S11 S4 S7 S12 S8 S3,7,-1,"[[1, 0, -2], [-2, 1, 2], [0, 0, -1]]",001101001,
735,115,167,S8,S1 S11 S4 S8 S2 S4 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [-2, 0, 1]]",100000100,
736,116,160,S2,S1 S12 S2 S3 S11,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
737,116,132,S3,S1 S12 S3 S2 S11,5,-1,"[[-1, 0, 0], [0, 1, 2], [0, 0, 1]]",100001000,
738,117,161,S2,S3 S8 S5 S2 S8 S12 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
739,117,133,S3,S3 S8 S5 S3 S11 S4,6,1,"[[3, 0, -2], [2, 1, -2], [2, 0, -1]]",101101101,"0,1,-1"
740,117,160,S8,S3 S8 S5 S8 S3 S11,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,0,-1"
741,118,135,S3,S1 S5 S3 S4 S2,5,-1,"[[-1, 0, 0], [-2, 3, -2], [-2, 2, -1]]",100111111,
742,119,162,S2,S3 S8 S12 S2 S8 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
743,119,134,S3,S3 S8 S12 S3 S8 S4 S2,7,-1,"[[-1, 4, -2], [0, 3, -2], [0, 2, -1]]",101011011,
744,119,163,S8,S3 S8 S12 S8 S2 S5 S1,7,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
745,120,144,S1,S2 S6 S1 S6,4,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-1,-1,2"
746,120,142,S4,S2 S6 S4 S5 S2,5,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
747,120,135,S5,S2 S6 S5 S4 S2,5,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
748,120,145,S7,S2 S6 S7 S6 S8,5,-1,"[[-1, 2, -2], [0, 1, 0], [0, 0, 1]]",111000000,
749,120,129,S8,S2 S6 S8 S7 S8 S1,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-3,2,1"
750,120,140,S10,S2 S6 S10 S12 S10 S1,6,1,"[[-1, 0, 0], [2, 1, -2], [2, 0, -1]]",100101101,"0,-1,1"
751,121,145,S1,S6 S7 S1 S6 S8,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
752,121,141,S4,S6 S7 S4 S5 S8 S2,6,1,"[[-1, 0, 2], [0, -1, 2], [0, 0, 1]]",101011000,"1,0,-1"
753,121,133,S5,S6 S7 S5 S11 S4,5,-1,"[[3, 0, -2], [0, -1, 0], [2, 0, -1]]",101010101,
754,121,125,S6,S6 S7 S6 S8 S2,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
755,121,128,S8,S6 S7 S8 S7 S3,5,-1,"[[-1, 2, 2], [0, 1, 0], [0, 0, 1]]",111000000,
756,121,139,S9,S6 S7 S9 S10 S7 S3,6,1,"[[-1, -2, 2], [0, -1, 0], [0, -2, 1]]",111010010,"0,1,-1"
757,121,143,S10,S6 S7 S10 S5 S9 S2,6,1,"[[-1, 0, -2], [-2, 1, -2], [0, 0, -1]]",101101001,"2,0,-2"
758,122,147,S1,S2 S5 S10 S1 S6 S9,6,1,"[[-1, 0, 2], [0, -1, 2], [0, 0, 1]]",101011000,"0,0,0"
759,122,140,S4,S2 S5 S10 S4 S12 S10 S1,7,-1,"[[-1, 0, 0], [-2, 1, 0], [-2, 0, 1]]",100100100,
760,122,132,S5,S2 S5 S10 S5 S2 S11,6,1,"[[1, 0, 0], [0, 1, 2], [0, 0, 1]]",000001000,"0,-1,1"
761,122,127,S6,S2 S5 S10 S6 S10 S2,6,1,"[[1, 0, 0], [0, 3, -2], [0, 2, -1]]",000011011,"1,-2,1"
762,122,146,S7,S2 S5 S10 S7 S10 S5,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
763,122,130,S8,S2 S5 S10 S8 S9 S5 S2,7,-1,"[[1, 0, 0], [2, -1, 2], [0, 0, 1]]",000111000,
764,122,138,S9,S2 S5 S10 S9 S8 S5 S2,7,-1,"[[1, 0, 0], [0, -1, 2], [0, 0, 1]]",000011000,
765,123,146,S1,S2 S9 S6 S1 S10 S5,6,1,"[[-1, 0, 0], [0, -1, 2], [0, 0, 1]]",100011000,"0,0,0"
766,123,143,S4,S2 S9 S6 S4 S5 S9 S2,7,-1,"[[1, 0, 0], [2, -1, 2], [0, 0, 1]]",000111000,
767,123,134,S5,S2 S9 S6 S5 S8 S4 S2,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
768,123,147,S7,S2 S9 S6 S7 S6 S9,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-1,1,0"
769,123,131,S8,S2 S9 S6 S8 S4 S7 S3,7,-1,"[[1, -2, 0], [0, 1, 0], [0, 2, -1]]",010000011,
770,123,136,S9,S2 S9 S6 S9 S2 S12,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,0,1"
771,123,141,S10,S2 S9 S6 S10 S5 S8 S2,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
772,124,148,S1,S2 S1 S3,3,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
773,125,149,S1,S2 S8 S1 S8 S1,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
774,125,133,S4,S2 S8 S4 S11 S4,5,-1,"[[1, 0, 0], [0, 1, 0], [2, 0, -1]]",000000101,
775,125,153,S7,S2 S8 S7 S6 S7,5,-1,"[[-1, 0, 2], [0, 1, 0], [0, 0, 1]]",101000000,
776,125,127,S9,S2 S8 S9 S10 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
777,125,126,S10,S2 S8 S10 S9 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
778,126,150,S1,S2 S9 S1 S3 S10,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, -2, 1]]",110000010,
779,126,134,S4,S2 S9 S4 S8 S4 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, -2, 1]]",000000010,"1,-2,1"
780,126,127,S8,S2 S9 S8 S10 S2,5,-1,"[[1, 0, 0], [0, 1, 0], [-2, 2, -1]]",000000111,
781,127,151,S1,S2 S10 S1 S3 S9,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
782,127,132,S4,S2 S10 S4 S2 S11,5,-1,"[[1, 0, 0], [0, 1, 0], [0, 0, -1]]",000000001,
783,127,140,S5,S2 S10 S5 S12 S10 S1,6,1,"[[-1, 0, 0], [0, -1, 0], [0, -2, 1]]",100010010,"-1,1,0"
784,128,152,S1,S3 S7 S1 S7 S2,5,-1,"[[-1, 2, 0], [0, 1, 0], [0, 0, 1]]",110000000,
785,128,130,S5,S3 S7 S5 S9 S5 S2,6,1,"[[-3, 2, 0], [-2, 1, 0], [0, 0, 1]]",010100000,"-1,1,0"
786,128,129,S6,S3 S7 S6 S7 S8 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"-1,3,-2"
787,128,143,S9,S3 S7 S9 S5 S9 S2,6,1,"[[-3, 2, 0], [-2, 1, 0], [0, 0, 1]]",010100000,"2,1,-3"
788,129,153,S1,S1 S8 S7 S1 S6 S7,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,0,-1"
789,129,130,S4,S1 S8 S7 S4 S9 S5 S2,7,-1,"[[1, 0, -2], [-2, 1, 0], [0, 0, -1]]",001100001,
790,129,131,S5,S1 S8 S7 S5 S4 S7 S3,7,-1,"[[1, 2, -2], [0, 1, 0], [0, 2, -1]]",011000011,
791,129,140,S9,S1 S8 S7 S9 S12 S10 S1,7,-1,"[[3, 0, -2], [2, -1, 0], [2, 0, -1]]",101110101,
792,129,137,S10,S1 S8 S7 S10 S9 S6 S2,7,-1,"[[1, 0, 2], [0, -1, 0], [0, 0, 1]]",001010000,
