index,u,v,edge_generator,word,length,tau_monodromy,deck_matrix,lambda2,memory_coeff_u1_u2_u3
124,13,15,S11,S2 S12 S8 S11 S10 S7 S2,7,-1,"[[1, 0, 0], [0, 1, 0], [0, 2, -1]]",000000011,
125,13,14,S12,S2 S12 S8 S12 S2 S5,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
126,14,19,S3,S5 S2 S3 S1 S5,5,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
127,14,163,S4,S5 S2 S4 S2 S5 S1,6,1,"[[1, 2, -2], [0, 1, 0], [0, 0, 1]]",011000000,"0,0,0"
128,14,86,S5,S5 S2 S5 S1 S4 S1,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"-1,1,0"
129,14,39,S6,S5 S2 S6 S1 S4,5,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
130,14,15,S7,S5 S2 S7 S10 S7 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
131,14,71,S8,S5 S2 S8 S12 S8 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"0,0,0"
132,14,98,S9,S5 S2 S9 S11 S6 S1,6,1,"[[1, 0, 0], [0, -1, 0], [0, 0, -1]]",000010001,"0,1,-1"
133,14,155,S10,S5 S2 S10 S7 S10 S2,6,1,"[[1, 0, 0], [0, 1, 0], [0, 0, 1]]",000000000,"1,-1,0"
134,15,23,S2,S2 S7 S10 S2 S5 S9,6,1,"[[1, 0, 0], [0, 1, 0], [-2, 2, 1]]",000000110,"-1,0,1"
135,15,18,S3,S2 S7 S10 S3 S7 S5,6,1,"[[1, 0, 0], [0, -1, 2], [0, -2, 3]]",000011011,"0,-1,1"
136,15,160,S4,S2 S7 S10 S4 S3 S11,6,1,"[[1, -2, 0], [0, -1, 0], [0, 0, -1]]",010010001,"-1,1,0"
137,15,84,S5,S2 S7 S10 S5 S9 S6 S3,7,-1,"[[-1, 0, 0], [0, -1, 0], [2, -2, -1]]",100010111,
138,15,38,S6,S2 S7 S10 S6 S8 S5 S3,7,-1,"[[1, 0, -2], [0, -1, 0], [0, -2, 1]]",001010010,
139,15,70,S8,S2 S7 S10 S8 S9 S7 S2,7,-1,"[[-1, 2, -2], [-2, 3, -2], [-2, 2, -1]]",111111111,
140,15,97,S9,S2 S7 S10 S9 S7 S6 S1,7,-1,"[[1, 0, 0], [0, -1, 0], [0, -2, 1]]",000010010,
141,16,20,S1,S2 S11 S6 S1 S10 S6,6,1,"[[1, 0, -2], [0, 1, 0], [0, 0, 1]]",001000000,"-1,0,1"
142,16,166,S4,S2 S11 S6 S4 S7 S5 S2,7,-1,"[[1, 0, 0], [0, 1, -2], [0, 0, -1]]",000001001,
143,16,91,S5,S2 S11 S6 S5 S11 S8,6,1,"[[-1, 0, 0], [0, 1, 0], [0, 2, -1]]",100000011,"1,0,-1"
144,16,21,S7,S2 S11 S6 S7 S5 S8,6,1,"[[-1, 0, 0], [0, -1, 2], [0, 0, 1]]",100011000,"-1,1,0"
145,16,65,S8,S2 S11 S6 S8 S6 S11 S3,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
146,16,113,S9,S2 S11 S6 S9 S6 S11 S1,7,-1,"[[-1, 0, 0], [0, 1, 0], [0, 0, 1]]",100000000,
